modeolo,accuracy,F1_macro,loss,epochs,params,training_time_sec
LSTM,0.794920027256012,0.7939389433090946,0.5005578398704529,10,2745217,3128.913468360901
Transformer,0.8568800091743469,0.8567166946294169,0.33648356795310974,4,1450625,2184.004310131073
